hhid,num_inds,children_ind,hh_income_ind,age_ind,home_value_ind,state,total_amount_before_campaign,total_amount_during_campaign,total_transactions
185,5,0,101 to 150,60-64,noValue,GA,1.68,1.28,2
187,8,0,noValue,noValue,noValue,MI,7.68,2.78,3
188,11,2+,noValue,50-59,noValue,PA,5.92,9.68,7
189,19,2+,51 to 100,40-49,noValue,MA,2.62,6.9,2
195,15,0,51 to 100,noValue,noValue,CA,7.97,18.42,9
199,7,2+,101 to 150,20-29,noValue,PA,1.22,0.0,2
214,8,0,0 to 50,40-49,101 to 200,AL,12.96,4.33,5
219,5,0,0 to 50,60-64,noValue,CA,10.66,1.76,5
225,12,2+,0 to 50,50-59,noValue,TX,5.51,5.61,4
227,11,0,51 to 100,65+,noValue,OH,4.84,1.58,2
228,22,2+,151+,noValue,noValue,NY,22.29,4.03,8
231,10,0,0 to 50,noValue,noValue,SC,6.85,0.61,3
235,13,0,0 to 50,noValue,noValue,FL,12.69,3.17,5
238,7,1,0 to 50,40-49,noValue,MI,4.34,5.17,2
258,15,2+,noValue,40-49,noValue,WV,3.66,3.53,3
259,11,0,51 to 100,40-49,noValue,UT,18.99,3.79,9
263,8,0,noValue,20-29,101 to 200,NY,6.24,8.01,5
268,5,0,noValue,noValue,101 to 200,WV,19.13,7.35,8
269,17,0,0 to 50,noValue,noValue,AZ,4.06,0.78,2
273,7,0,101 to 150,50-59,noValue,NY,0.95,6.18,3
276,17,0,51 to 100,50-59,201 to 500,NY,4.09,5.26,4
279,9,0,noValue,20-29,noValue,NY,11.24,3.16,5
281,11,2+,101 to 150,noValue,201 to 500,NJ,4.47,2.11,4
288,21,0,0 to 50,40-49,noValue,MA,18.51,2.97,5
294,14,1,51 to 100,noValue,201 to 500,NC,0.0,2.04,2
297,9,1,noValue,40-49,noValue,CA,0.82,0.0,2
298,7,1,noValue,50-59,101 to 200,FL,3.12,1.54,2
299,13,2+,0 to 50,30-39,noValue,CA,7.13,1.63,4
301,13,1,0 to 50,noValue,noValue,MD,12.62,2.9,5
305,9,0,0 to 50,20-29,201 to 500,CA,0.0,7.45,3
306,4,0,0 to 50,noValue,noValue,NC,8.74,2.64,4
309,13,2+,noValue,40-49,noValue,PA,5.23,3.77,2
310,24,1,151+,20-29,201 to 500,CT,10.15,4.08,3
313,15,2+,51 to 100,50-59,201 to 500,MD,2.96,6.72,3
315,12,2+,51 to 100,noValue,101 to 200,AL,0.64,4.74,4
317,21,2+,0 to 50,30-39,noValue,OH,0.0,1.58,2
319,12,2+,51 to 100,40-49,101 to 200,MI,4.11,3.47,4
322,19,2+,101 to 150,50-59,201 to 500,MI,2.34,2.1,2
324,15,0,0 to 50,50-59,noValue,CA,0.58,3.29,3
338,7,2+,101 to 150,50-59,101 to 200,SC,3.13,0.0,4
340,12,2+,51 to 100,40-49,noValue,VA,10.36,4.16,5
354,4,0,noValue,65+,201 to 500,SC,7.53,6.1,4
357,13,0,0 to 50,20-29,noValue,MS,7.11,2.35,4
361,24,0,0 to 50,30-39,101 to 200,CA,8.69,4.08,2
365,11,0,101 to 150,20-29,101 to 200,SC,0.94,8.28,4
369,23,0,0 to 50,50-59,noValue,NY,15.89,0.0,6
370,10,2+,noValue,40-49,noValue,IN,5.05,2.27,5
395,25,0,0 to 50,65+,noValue,CA,8.08,6.33,4
397,23,0,51 to 100,60-64,201 to 500,CA,6.16,5.87,3
400,6,1,0 to 50,60-64,noValue,GA,2.99,6.89,4
404,16,2+,101 to 150,40-49,101 to 200,PA,12.42,2.27,4
411,13,0,151+,noValue,noValue,PA,6.6,1.6,4
414,3,2+,51 to 100,50-59,101 to 200,MI,19.34,4.19,7
420,23,2+,0 to 50,20-29,noValue,NJ,1.63,2.27,2
422,25,0,0 to 50,40-49,noValue,FL,5.31,3.61,2
429,11,0,0 to 50,50-59,noValue,CA,5.56,3.61,4
430,15,0,51 to 100,noValue,noValue,MA,22.65,0.65,7
433,19,2+,51 to 100,20-29,201 to 500,NJ,13.98,0.17,7
437,10,0,0 to 50,40-49,101 to 200,TX,4.41,4.91,4
440,10,2+,51 to 100,40-49,noValue,NC,12.83,0.83,5
444,16,0,0 to 50,40-49,noValue,CA,2.59,1.14,2
447,14,2+,51 to 100,40-49,noValue,SC,0.0,1.23,2
448,4,2+,51 to 100,20-29,noValue,PA,2.61,11.81,6
453,30,0,51 to 100,40-49,201 to 500,NY,12.83,7.31,6
454,5,2+,51 to 100,30-39,noValue,LA,2.15,5.34,2
457,21,2+,51 to 100,40-49,501+,CA,3.67,3.78,5
468,9,2+,51 to 100,50-59,noValue,IN,9.93,5.92,5
477,8,2+,51 to 100,50-59,0 to 100,AL,9.48,2.5,4
483,13,0,0 to 50,50-59,101 to 200,NC,9.81,8.06,6
484,5,0,0 to 50,50-59,noValue,NJ,7.19,2.48,5
493,5,0,51 to 100,50-59,101 to 200,TX,11.19,2.63,3
494,10,1,51 to 100,noValue,101 to 200,VA,2.34,0.07,3
503,30,0,51 to 100,noValue,101 to 200,MA,10.34,7.33,5
505,12,0,0 to 50,30-39,201 to 500,CA,1.55,2.9,5
516,5,2+,0 to 50,20-29,noValue,AZ,4.51,6.68,4
524,11,1,51 to 100,noValue,noValue,CA,4.66,5.94,5
527,16,1,101 to 150,noValue,noValue,NY,3.24,8.65,3
528,9,2+,51 to 100,60-64,101 to 200,GA,4.18,3.26,4
529,9,0,0 to 50,noValue,noValue,PA,1.31,4.97,4
534,7,0,101 to 150,noValue,noValue,NY,5.55,1.58,3
539,4,2+,51 to 100,30-39,101 to 200,PA,8.37,4.49,3
540,25,0,0 to 50,30-39,noValue,MA,3.19,2.22,4
543,13,2+,0 to 50,noValue,0 to 100,GA,4.44,0.0,3
546,5,0,51 to 100,40-49,noValue,CA,3.38,3.29,5
556,7,2+,0 to 50,40-49,noValue,CA,1.94,6.48,4
557,7,2+,0 to 50,noValue,noValue,PA,8.99,1.61,5
559,13,0,101 to 150,60-64,noValue,NJ,3.83,5.0,2
563,19,0,51 to 100,20-29,noValue,NY,4.21,5.34,4
573,14,0,noValue,20-29,noValue,CA,7.34,2.18,3
575,9,1,51 to 100,50-59,noValue,LA,23.68,4.09,10
577,6,0,101 to 150,noValue,noValue,FL,1.75,4.79,3
579,9,1,51 to 100,noValue,noValue,IN,3.03,3.51,2
582,30,0,101 to 150,65+,201 to 500,TX,6.97,1.25,6
584,6,2+,51 to 100,noValue,noValue,VA,19.85,1.22,8
592,14,0,51 to 100,40-49,noValue,SC,7.56,9.71,5
597,11,0,51 to 100,noValue,0 to 100,OH,5.37,3.98,5
603,17,0,0 to 50,50-59,noValue,WA,5.65,0.0,3
617,9,2+,101 to 150,30-39,201 to 500,TN,10.32,3.92,4
619,8,1,51 to 100,20-29,201 to 500,CA,3.4,2.21,3
630,11,0,0 to 50,50-59,noValue,CA,4.99,5.18,2
637,17,0,51 to 100,60-64,noValue,TN,12.08,3.22,4
645,8,2+,51 to 100,noValue,101 to 200,SC,9.79,6.39,7
646,16,2+,noValue,50-59,noValue,NJ,3.52,3.88,3
653,9,1,51 to 100,50-59,noValue,NJ,18.2,3.87,6
656,10,0,51 to 100,noValue,noValue,SC,23.68,2.78,6
662,4,0,0 to 50,noValue,noValue,PA,1.67,4.77,2
670,14,2+,0 to 50,40-49,noValue,CA,16.71,2.35,6
674,10,2+,51 to 100,40-49,101 to 200,NY,11.24,0.0,8
676,16,2+,51 to 100,50-59,noValue,CA,17.07,2.2,6
681,26,1,51 to 100,50-59,101 to 200,VT,9.17,3.35,2
686,17,2+,51 to 100,30-39,noValue,MI,5.36,1.18,3
689,8,0,0 to 50,20-29,noValue,TX,11.03,3.16,4
696,11,0,0 to 50,20-29,201 to 500,NJ,1.73,2.17,3
712,15,0,51 to 100,noValue,201 to 500,FL,10.91,6.28,5
719,3,0,51 to 100,60-64,noValue,MI,7.68,8.32,4
723,12,0,noValue,65+,noValue,NJ,3.1,3.95,3
725,10,0,101 to 150,30-39,noValue,CA,13.11,1.53,4
729,10,2+,0 to 50,40-49,101 to 200,TN,4.54,6.81,2
732,7,0,0 to 50,30-39,noValue,NC,3.39,7.05,2
736,6,0,noValue,50-59,201 to 500,WA,14.65,6.31,6
737,8,2+,0 to 50,30-39,noValue,VA,1.89,0.0,2
747,8,1,51 to 100,20-29,noValue,GA,3.82,2.18,3
748,8,2+,51 to 100,50-59,noValue,OH,6.37,4.13,4
750,8,2+,51 to 100,40-49,201 to 500,NC,3.67,0.51,3
752,9,2+,noValue,40-49,101 to 200,VA,8.08,0.59,5
759,8,0,51 to 100,65+,noValue,PA,3.7,11.87,5
769,13,2+,0 to 50,noValue,201 to 500,NJ,5.19,3.9,3
772,15,0,51 to 100,65+,noValue,MT,14.17,8.82,7
777,29,1,51 to 100,65+,noValue,MD,8.8,8.02,6
801,7,2+,101 to 150,40-49,noValue,OH,3.82,1.27,2
803,9,2+,0 to 50,40-49,noValue,GA,4.46,2.81,2
816,2,2+,51 to 100,noValue,201 to 500,CT,10.27,6.63,4
817,4,1,0 to 50,40-49,noValue,OH,2.68,4.5,2
818,5,2+,51 to 100,noValue,noValue,IN,17.77,0.45,6
819,9,0,151+,50-59,noValue,FL,9.73,3.37,3
821,25,0,51 to 100,50-59,201 to 500,NY,13.69,4.03,6
824,6,2+,noValue,noValue,noValue,OH,29.39,3.18,9
831,6,2+,151+,30-39,noValue,OH,5.13,3.13,3
832,7,0,51 to 100,50-59,noValue,LA,3.18,2.26,3
833,13,2+,noValue,60-64,noValue,MD,13.09,1.62,5
845,9,0,101 to 150,noValue,noValue,FL,10.84,4.11,7
849,7,0,51 to 100,50-59,noValue,KY,3.62,2.24,4
850,6,2+,0 to 50,60-64,noValue,OH,2.42,5.42,2
856,8,2+,51 to 100,noValue,noValue,WY,4.12,2.51,4
859,9,1,0 to 50,noValue,101 to 200,FL,5.98,3.16,3
860,16,2+,101 to 150,40-49,noValue,MD,10.1,3.46,6
862,18,0,51 to 100,65+,201 to 500,NY,10.52,5.48,4
865,15,2+,noValue,noValue,101 to 200,RI,16.89,3.43,7
873,23,1,51 to 100,30-39,noValue,SC,6.67,5.5,6
875,5,1,51 to 100,50-59,noValue,IN,3.17,1.14,2
876,14,2+,51 to 100,30-39,201 to 500,NH,20.11,13.35,10
879,8,0,noValue,30-39,noValue,MI,10.97,6.29,6
886,16,2+,0 to 50,20-29,noValue,FL,11.28,3.55,4
893,10,2+,51 to 100,65+,noValue,LA,10.08,7.08,4
898,7,2+,0 to 50,30-39,0 to 100,PA,15.56,8.72,6
902,12,1,0 to 50,noValue,noValue,NC,3.75,4.92,7
904,7,2+,51 to 100,30-39,noValue,PA,5.99,0.0,3
905,8,2+,0 to 50,40-49,noValue,PA,17.57,0.56,6
918,13,0,0 to 50,50-59,0 to 100,NY,3.28,5.19,2
923,7,2+,51 to 100,20-29,noValue,DE,8.09,0.73,5
926,9,0,0 to 50,65+,noValue,CA,1.66,4.66,2
927,8,2+,noValue,30-39,noValue,PA,3.69,4.09,3
929,4,0,51 to 100,30-39,201 to 500,VA,15.87,4.65,6
934,12,2+,51 to 100,noValue,noValue,FL,0.0,0.0,2
937,14,2+,51 to 100,40-49,noValue,NC,4.4,1.97,2
948,8,0,0 to 50,50-59,noValue,PA,3.02,1.13,3
952,8,0,0 to 50,40-49,noValue,FL,6.7,7.3,6
956,6,0,51 to 100,50-59,noValue,NC,8.33,5.08,5
957,19,2+,noValue,30-39,noValue,PA,9.66,5.07,4
958,6,2+,0 to 50,50-59,201 to 500,NC,7.74,2.57,2
960,12,2+,51 to 100,noValue,101 to 200,CA,7.12,4.19,6
961,10,2+,0 to 50,noValue,noValue,MI,2.02,7.96,3
964,7,1,0 to 50,30-39,0 to 100,NY,6.3,6.9,4
967,4,0,51 to 100,60-64,101 to 200,NY,6.75,2.04,2
972,16,0,151+,65+,201 to 500,VA,8.21,1.24,3
974,16,0,0 to 50,noValue,noValue,MA,9.74,5.1,4
977,12,1,0 to 50,50-59,noValue,CA,3.54,3.48,3
980,21,0,51 to 100,noValue,noValue,NY,26.49,5.35,9
988,15,2+,0 to 50,65+,101 to 200,TN,10.92,5.7,5
995,13,0,101 to 150,20-29,noValue,NY,8.84,4.61,5
996,10,0,51 to 100,40-49,noValue,NC,4.81,3.04,3
998,12,2+,51 to 100,noValue,noValue,MI,11.13,7.25,4
1003,10,0,51 to 100,65+,noValue,MI,0.0,10.24,2
1008,24,0,101 to 150,noValue,noValue,GA,3.63,1.93,3
1012,16,2+,0 to 50,40-49,noValue,CA,18.72,4.75,5
1015,3,0,0 to 50,30-39,0 to 100,NY,8.89,3.74,5
1020,9,2+,101 to 150,40-49,noValue,CA,5.05,2.84,2
1022,18,0,noValue,65+,201 to 500,MD,8.53,6.47,5
1027,8,1,0 to 50,20-29,noValue,IN,1.86,2.63,2
1029,16,0,0 to 50,noValue,201 to 500,MA,12.91,4.25,6
1037,11,0,0 to 50,65+,noValue,CA,1.56,5.12,2
1040,25,2+,51 to 100,40-49,noValue,NJ,3.62,3.2,4
1041,5,0,101 to 150,noValue,201 to 500,MD,24.48,5.35,9
1042,11,1,0 to 50,noValue,201 to 500,VA,15.21,3.52,6
1044,3,0,0 to 50,50-59,noValue,OH,6.91,0.0,2
1047,16,2+,noValue,65+,noValue,FL,10.93,7.41,5
1050,9,0,noValue,65+,noValue,FL,3.49,1.04,4
1055,13,0,0 to 50,50-59,noValue,IN,3.84,0.63,3
1064,5,0,noValue,50-59,noValue,CA,3.3,2.05,2
1065,8,2+,51 to 100,20-29,noValue,NC,9.29,2.86,3
1066,12,2+,0 to 50,65+,noValue,FL,7.22,3.12,3
1068,16,0,51 to 100,noValue,201 to 500,NY,10.04,1.34,5
1069,24,0,51 to 100,noValue,0 to 100,SC,0.0,7.25,2
1071,20,2+,51 to 100,noValue,noValue,NY,2.87,0.0,3
1073,12,1,0 to 50,65+,noValue,PA,9.73,0.78,5
1075,15,2+,0 to 50,noValue,noValue,CA,13.71,0.0,5
1084,9,0,0 to 50,20-29,noValue,NY,9.28,1.41,5
1091,9,1,0 to 50,30-39,0 to 100,AZ,2.34,5.38,2
1092,3,0,noValue,noValue,noValue,WV,4.43,4.26,3
1093,10,1,0 to 50,20-29,201 to 500,CA,0.28,3.77,3
1096,1,0,101 to 150,65+,noValue,OR,0.0,9.27,5
1102,6,2+,noValue,40-49,noValue,MA,10.01,5.64,3
1107,6,0,51 to 100,20-29,noValue,VA,3.22,4.74,3
1114,1,1,0 to 50,30-39,noValue,AL,3.53,5.93,3
1115,6,2+,51 to 100,30-39,noValue,OH,3.22,1.12,3
1125,14,0,51 to 100,noValue,0 to 100,MI,0.08,9.59,3
1129,11,0,0 to 50,20-29,noValue,MI,4.12,8.04,3
1131,17,0,51 to 100,40-49,201 to 500,NY,7.54,1.02,3
1139,23,0,0 to 50,50-59,noValue,WA,5.26,1.14,3
1147,6,2+,0 to 50,noValue,noValue,GA,3.24,0.0,2
1153,16,2+,0 to 50,50-59,noValue,NH,5.0,7.96,4
1164,9,1,101 to 150,30-39,noValue,ME,3.78,3.64,5
1166,15,1,0 to 50,30-39,noValue,FL,7.91,5.87,4
1170,3,0,51 to 100,30-39,noValue,IN,5.8,4.97,4
1171,4,2+,noValue,40-49,noValue,NY,4.14,5.73,2
1173,13,2+,51 to 100,40-49,noValue,NY,11.51,2.3,7
1174,12,2+,0 to 50,30-39,noValue,NJ,3.43,2.51,2
1175,10,2+,51 to 100,40-49,noValue,MI,3.56,2.7,2
1176,19,0,51 to 100,40-49,noValue,FL,5.98,0.0,4
1177,7,0,0 to 50,65+,noValue,OH,13.27,5.69,6
1179,22,2+,51 to 100,30-39,101 to 200,PA,2.27,3.79,3
1182,12,1,51 to 100,40-49,noValue,FL,6.89,18.63,6
1187,12,2+,101 to 150,50-59,noValue,NC,7.54,1.45,4
1188,11,1,51 to 100,20-29,201 to 500,CA,18.21,6.27,7
1189,13,0,101 to 150,noValue,noValue,AZ,5.6,2.34,3
1191,17,1,101 to 150,30-39,noValue,MA,12.19,27.08,11
1194,6,2+,0 to 50,30-39,noValue,NY,8.62,0.0,3
1201,29,1,101 to 150,50-59,noValue,NJ,10.98,1.54,7
1208,6,2+,51 to 100,30-39,101 to 200,AL,7.05,0.17,2
1210,14,1,0 to 50,65+,noValue,LA,9.29,0.0,3
1218,9,1,101 to 150,noValue,noValue,NY,0.0,5.25,3
1229,8,0,noValue,noValue,101 to 200,MI,7.55,3.79,3
1230,13,2+,51 to 100,40-49,201 to 500,VA,5.39,1.35,2
1239,14,0,51 to 100,50-59,noValue,AL,11.52,6.75,6
1243,10,0,51 to 100,noValue,201 to 500,VA,4.22,1.76,2
1248,3,2+,noValue,noValue,noValue,SC,1.43,6.0,2
1250,13,0,151+,noValue,201 to 500,NY,18.92,0.23,5
1253,12,2+,51 to 100,50-59,noValue,GA,1.38,0.0,3
1254,15,2+,51 to 100,40-49,201 to 500,NY,6.35,2.15,3
1259,8,2+,0 to 50,40-49,noValue,NC,8.59,9.36,4
1262,2,2+,noValue,30-39,101 to 200,PA,12.11,4.21,6
1268,10,0,51 to 100,noValue,201 to 500,GA,5.29,3.6,3
1276,18,0,51 to 100,50-59,noValue,NY,15.74,17.35,8
1279,9,1,0 to 50,50-59,noValue,VA,10.41,2.34,3
1282,11,0,0 to 50,30-39,noValue,MD,2.49,4.95,3
1285,10,0,101 to 150,noValue,noValue,FL,10.81,5.0,3
1292,10,2+,0 to 50,60-64,0 to 100,PA,14.78,0.0,6
1293,21,0,0 to 50,20-29,noValue,NY,16.76,8.49,6
1297,13,1,0 to 50,noValue,noValue,SC,9.79,2.09,3
1298,5,2+,51 to 100,50-59,noValue,OH,0.15,2.13,3
1299,17,0,51 to 100,noValue,noValue,WA,14.12,2.9,5
1304,14,2+,101 to 150,40-49,noValue,SC,0.0,1.5,3
1306,19,0,51 to 100,65+,noValue,TX,9.02,3.71,6
1307,13,2+,0 to 50,60-64,noValue,MI,7.53,2.31,4
1311,11,2+,51 to 100,40-49,noValue,NY,4.0,4.99,3
1317,12,2+,51 to 100,noValue,noValue,MI,4.53,5.97,3
1319,20,0,51 to 100,60-64,noValue,PA,3.12,9.72,5
1321,18,2+,0 to 50,30-39,0 to 100,PA,5.21,0.0,2
1328,10,2+,51 to 100,noValue,noValue,SC,1.33,0.45,2
1336,8,0,0 to 50,40-49,0 to 100,AZ,4.97,0.18,2
1354,13,0,51 to 100,60-64,noValue,DC,14.14,3.63,8
1358,12,2+,101 to 150,30-39,201 to 500,CT,1.03,2.29,2
1364,4,2+,0 to 50,30-39,noValue,TN,6.24,5.54,2
1370,14,0,51 to 100,65+,noValue,SC,11.84,2.41,3
1375,17,2+,51 to 100,60-64,noValue,CA,12.6,0.0,3
1376,7,1,0 to 50,30-39,noValue,PA,4.29,10.95,4
1382,9,1,51 to 100,noValue,noValue,CT,15.04,4.27,6
1384,7,1,0 to 50,20-29,noValue,CA,11.97,2.74,4
1394,14,2+,0 to 50,40-49,noValue,MD,2.14,4.07,2
1401,2,2+,0 to 50,noValue,101 to 200,SC,4.12,3.08,3
1402,8,2+,51 to 100,noValue,0 to 100,OH,1.93,3.42,3
1405,23,2+,0 to 50,50-59,noValue,SC,13.0,1.68,6
1413,9,1,0 to 50,noValue,noValue,PA,6.55,5.25,4
1425,10,0,101 to 150,40-49,201 to 500,CA,2.88,6.32,2
1426,3,0,51 to 100,noValue,noValue,OH,3.52,4.88,2
1429,15,0,51 to 100,40-49,noValue,CA,2.76,0.0,2
1430,16,0,51 to 100,noValue,noValue,SC,3.34,2.32,3
1434,14,0,51 to 100,65+,noValue,GA,0.36,0.0,2
1436,21,0,0 to 50,50-59,noValue,CA,1.49,0.0,2
1449,14,1,51 to 100,noValue,noValue,MD,5.72,4.08,3
1455,8,0,0 to 50,noValue,noValue,SC,6.14,4.47,6
1458,8,2+,0 to 50,40-49,noValue,LA,6.89,1.07,4
1459,26,0,51 to 100,40-49,noValue,MI,11.04,3.22,6
1461,11,0,51 to 100,30-39,noValue,AL,12.46,3.13,4
1463,15,2+,51 to 100,noValue,101 to 200,NC,5.16,3.05,2
1466,7,2+,0 to 50,40-49,101 to 200,AL,5.01,7.18,4
1469,17,0,51 to 100,50-59,noValue,AZ,11.56,0.0,3
1479,14,0,51 to 100,noValue,101 to 200,UT,4.73,1.21,3
1482,5,0,0 to 50,noValue,noValue,GA,0.42,5.12,3
1483,13,2+,0 to 50,50-59,noValue,CA,8.69,11.05,9
1487,19,2+,0 to 50,50-59,noValue,FL,3.18,4.48,2
1489,11,2+,0 to 50,30-39,noValue,NJ,9.35,4.04,5
1496,15,2+,51 to 100,40-49,noValue,VA,1.22,1.66,2
1511,17,0,0 to 50,noValue,noValue,PA,1.42,4.93,2
1513,13,0,0 to 50,60-64,0 to 100,TX,2.28,2.89,4
1517,12,2+,51 to 100,50-59,noValue,NY,5.03,3.64,3
1519,11,2+,noValue,30-39,noValue,PA,8.67,2.47,6
1527,15,1,noValue,20-29,noValue,NY,5.08,2.3,3
1529,6,2+,0 to 50,40-49,noValue,OH,0.44,11.92,4
1533,11,0,51 to 100,noValue,noValue,PA,7.22,2.58,3
1536,21,1,151+,noValue,noValue,NY,6.36,2.99,6
1539,12,2+,101 to 150,noValue,201 to 500,CO,0.0,2.86,2
1540,9,2+,0 to 50,50-59,noValue,CA,4.78,6.55,2
1544,7,2+,51 to 100,noValue,noValue,DE,11.91,1.91,5
1545,8,0,51 to 100,noValue,noValue,FL,12.48,1.53,7
1546,9,2+,51 to 100,30-39,101 to 200,FL,8.12,3.33,6
1550,15,0,51 to 100,50-59,noValue,MI,13.42,4.63,5
1552,11,0,51 to 100,50-59,201 to 500,MD,16.58,1.3,5
1553,23,2+,51 to 100,noValue,noValue,GA,9.78,8.68,6
1562,8,2+,51 to 100,30-39,noValue,MD,10.69,4.47,6
1565,10,0,51 to 100,40-49,201 to 500,NY,9.01,4.67,6
1570,27,1,noValue,noValue,noValue,NJ,6.86,4.38,3
1575,6,2+,51 to 100,noValue,0 to 100,NY,1.97,4.99,2
1581,10,2+,51 to 100,noValue,noValue,CA,20.04,8.65,7
1583,23,2+,101 to 150,30-39,noValue,NY,1.6,7.29,3
1584,22,0,101 to 150,50-59,201 to 500,NH,7.48,3.51,5
1588,10,0,0 to 50,noValue,0 to 100,PA,14.05,9.95,4
1591,15,2+,101 to 150,40-49,noValue,MD,9.3,1.65,6
1600,15,2+,51 to 100,50-59,noValue,LA,14.79,0.64,6
1608,13,2+,101 to 150,noValue,noValue,NY,3.76,4.5,2
1618,10,0,51 to 100,40-49,noValue,NJ,4.02,3.47,7
1619,14,0,51 to 100,noValue,noValue,GA,8.02,3.12,4
1621,10,0,51 to 100,noValue,noValue,FL,16.27,3.4,5
1622,6,0,0 to 50,65+,501+,NY,2.1,2.06,4
1623,10,0,noValue,40-49,noValue,VA,9.32,5.87,5
1625,5,1,51 to 100,65+,noValue,TN,1.73,5.98,3
1641,6,2+,noValue,40-49,noValue,VT,7.59,3.65,4
1647,8,0,0 to 50,50-59,101 to 200,IL,3.75,1.86,2
1648,13,2+,noValue,noValue,noValue,CA,13.46,0.0,4
1650,15,2+,101 to 150,noValue,noValue,CA,9.43,11.56,6
1655,10,2+,51 to 100,40-49,noValue,IN,5.27,8.15,4
1656,18,1,51 to 100,20-29,noValue,CT,3.55,0.0,4
1662,9,0,0 to 50,60-64,noValue,FL,11.21,8.36,9
1666,10,2+,0 to 50,60-64,noValue,SC,10.36,4.84,6
1667,14,2+,51 to 100,40-49,noValue,NY,2.16,7.36,4
1672,9,2+,0 to 50,20-29,noValue,NC,3.68,1.34,3
1673,9,1,51 to 100,65+,noValue,GA,10.8,4.57,8
1685,14,1,51 to 100,20-29,noValue,NJ,4.92,7.9,3
1694,8,0,0 to 50,noValue,noValue,NJ,5.75,3.0,3
1696,14,0,0 to 50,50-59,201 to 500,NY,4.57,8.36,2
1698,12,0,51 to 100,60-64,noValue,CA,6.23,0.0,2
1699,7,0,0 to 50,40-49,0 to 100,PA,0.0,6.33,7
1701,14,1,0 to 50,65+,0 to 100,OH,8.41,4.87,4
1703,16,0,0 to 50,noValue,0 to 100,KY,9.47,1.67,5
1706,13,0,51 to 100,30-39,noValue,NJ,5.79,1.62,3
1707,8,0,0 to 50,65+,noValue,FL,0.0,6.07,7
1711,23,2+,151+,40-49,noValue,CT,9.28,2.16,4
1712,6,0,0 to 50,noValue,noValue,MD,3.08,2.94,3
1715,22,0,noValue,65+,noValue,NJ,11.94,5.04,6
1716,14,0,0 to 50,50-59,noValue,GA,0.25,0.0,3
